0	0.04915	1	0.08469	-70
4	0.0731	5	0.2018	-69
-69	0.0727	6	0.19566	-69
3	0.08733	-69	0.03634	-69
2	0.44439	-69	0.08605	-69
-70	0.15692	-69	0.12919	-70
8	0.15204	9	0.13266	-69
7	0.07589	-69	0.29796	-69
-69	0.12126	10	0.15892	-69
-69	0.10337	11	0.08948	-69
13	0.27068	14	0.12311	-68
15	0.11305	16	0.16333	-67
-68	0.09485	-67	0.03917	-68
17	0.2021	18	0.07447	-67
-68	0.0869	-67	0.08032	-68
19	0.1707	20	0.0986	-67
22	0.15362	23	0.18892	-66
21	0.02965	-66	0.07766	-66
-66	0.01454	24	0.0146	-66
25	0.14511	26	0.14752	-65
27	0.07789	28	0.23785	-64
-65	0.03425	-64	0.03494	-65
-66	0.01179	-65	0.09703	-66
29	0.1635	30	0.17693	-65
-66	0.02489	-65	0.09889	-66
-67	0.07792	-66	0.08072	-67
-67	0.06107	31	0.13805	-67
35	0.25211	36	0.27187	-66
34	0.12945	-66	0.05682	-66
33	0.28527	-66	0.0603	-66
32	0.14108	-66	0.03619	-66
-67	0.02483	-66	0.01123	-67
-68	0.04572	-67	0.07003	-68
-68	0.14422	37	0.2784	-68
12	0.29286	-68	0.06438	-68
38	0.14379	39	0.14287	-67
40	0.40986	41	0.17558	-66
42	0.27885	43	0.2121	-65
-66	0.10051	-65	0.04106	-66
44	0.26876	45	0.15565	-65
-65	0.10266	46	0.29561	-65
48	0.09536	49	0.24755	-64
47	0.22248	-64	0.06635	-64
-65	0.0826	-64	0.02663	-65
50	0.1578	51	0.22718	-64
52	0.20311	53	0.17076	-63
-64	0.0781	-63	0.05602	-64
-64	0.06485	54	0.19431	-64
55	0.29827	56	0.13939	-63
-64	0.08685	-63	0.06139	-64
-65	0.04132	-64	0.0333	-65
-66	0.00959	-65	0.04439	-66
-66	0.05492	57	0.19726	-66
58	0.1667	59	0.224	-65
-66	0.04848	-65	0.07987	-66
-67	0.11335	-66	0.05065	-67
60	0.14928	61	0.19525	-66
-67	0.1158	-66	0.0442	-67
64	0.13702	65	0.08446	-66
-66	0.07572	66	0.16689	-66
63	0.03952	-66	0.03088	-66
62	0.30513	-66	0.06866	-66
-67	0.09034	-66	0.05436	-67
-68	0.03619	-67	0.07772	-68
67	0.01477	68	0.13643	-67
69	0.23176	70	0.11491	-66
-67	0.07985	-66	0.02662	-67
72	0.19276	73	0.47027	-66
74	0.02125	75	0.13924	-65
-66	0.04334	-65	0.01058	-66
-66	0.07205	76	0.33083	-66
-66	0.00601	77	0.25922	-66
71	0.1803	-66	0.17429	-66
-67	0.12631	-66	0.15733	-67
-68	0.0493	-67	0.04721	-68
78	0.17051	79	0.01183	-67
80	0.13455	81	0.18697	-66
-67	0.02123	-66	0.06762	-67
82	0.08483	83	0.15443	-66
84	0.12658	85	0.11505	-65
87	0.2015	88	0.10122	-64
86	0.12702	-64	0.06316	-64
-65	0.05261	-64	0.03623	-65
92	0.18958	93	0.24444	-64
91	0.12415	-64	0.11063	-64
90	0.06502	-64	0.04944	-64
89	0.2187	-64	0.00892	-64
-64	0.03686	94	0.15426	-64
-65	0.02503	-64	0.03122	-65
-66	0.03909	-65	0.09682	-66
-67	0.02299	-66	0.04145	-67
97	0.10236	98	0.31688	-66
96	0.01894	-66	0.09381	-66
95	0.11399	-66	0.0846	-66
-67	0.09192	-66	0.04569	-67
-67	0.02899	99	0.1534	-67
101	0.15955	102	0.28912	-66
-66	0.02112	103	0.09571	-66
100	0.30187	-66	0.01003	-66
105	0.13651	106	0.082	-65
-65	0.03179	107	0.13389	-65
104	0.11616	-65	0.03706	-65
-66	0.03477	-65	0.06284	-66
109	0.20052	110	0.22916	-65
108	0.23297	-65	0.14615	-65
-66	0.26221	-65	0.07055	-66
-67	0.01865	-66	0.07838	-67
111	0.33071	112	0.24473	-66
-66	0.21975	113	0.12864	-66
-67	0.04744	-66	0.15519	-67
114	0.13493	115	0.07831	-66
116	0.08446	117	0.17912	-65
-66	0.0781	-65	0.1009	-66
120	0.25088	121	0.10797	-65
122	0.23554	123	0.04286	-64
-65	0.05851	-64	0.03466	-65
124	0.23874	125	0.11508	-64
-65	0.02705	-64	0.03759	-65
119	0.26738	-65	0.05702	-65
118	0.25683	-65	0.0544	-65
-66	0.0444	-65	0.04218	-66
127	0.20542	128	0.20588	-65
126	0.15816	-65	0.07971	-65
129	0.11162	130	0.29162	-64
-65	0.0941	-64	0.0909	-65
133	0.11362	134	0.23792	-64
132	0.07096	-64	0.00848	-64
136	0.0336	137	0.26131	-63
135	0.13993	-63	0.13443	-63
-64	0.0575	-63	0.05484	-64
138	0.24311	139	0.02285	-63
142	0.35249	143	0.04267	-62
141	0.10774	-62	0.02448	-62
140	0.24212	-62	0.07671	-62
-63	0.04603	-62	0.04666	-63
-64	0.03167	-63	0.07438	-64
131	0.25182	-64	0.04753	-64
144	0.13653	145	0.10315	-63
146	0.14925	147	0.14718	-62
-63	0.0585	-62	0.08768	-63
150	0.2503	151	0.03382	-62
149	0.10957	-62	0.00489	-62
153	0.4277	154	0.14611	-61
152	0.14103	-61	0.0153	-61
-62	0.04491	-61	0.02017	-62
148	0.17796	-62	0.08523	-62
-63	0.03176	-62	0.07926	-63
-63	0.06483	155	0.29427	-63
-64	0.04525	-63	0.02497	-64
-65	0.08699	-64	0.09893	-65
-66	0.034	-65	0.1865	-66
156	0.00349	157	0.0145	-65
158	0.09049	159	0.12585	-64
162	0.13288	163	0.05854	-63
161	0.15024	-63	0.0461	-63
160	0.18466	-63	0.07105	-63
-64	0.07329	-63	0.12311	-64
-65	0.19435	-64	0.05334	-65
-66	0.04848	-65	0.06094	-66
-67	0.02697	-66	0.02664	-67
-68	0.06108	-67	0.07477	-68
-69	0.13789	-68	0.03182	-69
-70	0.02728	-69	0.03475	-70
164	0.16008	165	0.11421	-69
-70	0.01948	-69	0.04423	-70
-70	0.09984	166	0.30841	-70
167	0.12545	168	0.13621	-69
-69	0.07412	169	0.2715	-69
171	0.2549	172	0.3076	-68
170	0.1871	-68	0.1968	-68
-68	0.06964	173	0.37075	-68
176	0.02703	177	0.06496	-67
175	0.01854	-67	0.1108	-67
178	0.03546	179	0.41292	-66
-67	0.03412	-66	0.05582	-67
174	0.33265	-67	0.01977	-67
180	0.13152	181	0.21163	-66
182	0.14617	183	0.19473	-65
185	0.16526	186	0.07111	-64
184	0.11854	-64	0.0383	-64
-65	0.05863	-64	0.11409	-65
-65	0.07388	187	0.15725	-65
-66	0.10038	-65	0.08669	-66
